product,price,userRating,averageRating,username,userLocation,athleteType,ageRange,bodyType,likes,dislikes,fit,reviewTitle,reviewDate,reviewText,responseDate,responseText,Helpful,NotHelpful,reviewLength,category,categoryType
Metal Vent Tech Long Sleeve,78,2.9,4,JOBEGOOD,SAN DIEGO,SWEATY GENERALIST,25-34,ATHLETIC,great fit,not a training top,,Great fit but this is not a training top.,2017-08-04,"This long sleeve fits me perfectly: I'm 5'10 lean, 160lbs and very athletic.",,,4,0,76,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,5,ARHODES27,"TAMPA, FL, USA",SWEATY GENERALIST,18-24,ATHLETIC,,,,Sleeves too long,2017-07-02,"First off, I just want to say how much I love this shirt. I have 2 and one fits perfect but the other one, the sleeves are about 4 inches too long. The other day, I went to the nearest Lulu store and asked if they could hem the sleeves because I have had pants hemmed there before. The manager told me they can only do pants and the bottom of the shirt and that I need to take the shirt to a seamstress ,myself, which I am perfectly capable of, but I wasn't planning on paying for it. So I'm stuck with a shirt that bunches up a lot by my wrists. I will definitely continue to shop at Lulu though because I love the quality and comfort of your clothing.",,,5,0,653,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,3,JULYCON,NEW YORK,RUNNER,18-24,SLIM,fit,quality,,Great at first,2017-07-02,"I bought this shirt a few weeks ago. I was very pleased with how well it fit and how comfortable it was. I wore it to the gym maybe 5 or 6 times and washed it after every session. When going to the gym, I noticed a small hole on the back side. Very disappointed as I have quite a few work out shirts from Lulu that work great. I don't have a receipt and my local store is hours away and won't take it back. Otherwise, comfortable shirt, but upset I pretty much lost $80. Maybe got one of a bad batch.",2017-07-04,"Hi julycon,
Thank you for taking the time to share your feedback. I'm sorry to hear that your shirt isn't holding up as expected. We stand by the quality of our gear and I'd like to make this right. Keep an eye on your inbox, as I'll be reaching out shortly to get the ball rolling on a solution for you.",1,0,500,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,2,JD112,"SARASOTA, FL",RUNNER,35-44,,lightweight cool fits well,quality,,"Great shirt, but poor quality",2017-06-15,"I bought this shirt for my husband, and he loved it at first. However, after the first or second wash, he noticed a small hole in the front. The quality of this $78 shirt is very poor. When you can buy a shirt for half the price somewhere else, and it will hold up for years, it's difficult to justify spending that kind of money on a shirt that starts to fall apart so quickly. He is quite disappointed. as am I. If the shirt hadn't gotten a hole-it would've definitely been a five star rating.",2017-06-15,"Hi jd112,
Thank you for taking the time to share your feedback. I'm sorry to hear that your husband's gear wasn't able to keep up with him. We stand by the quality of our gear and I'd like to make this right. Keep an eye on your inbox, as I'll be reaching out shortly to get the ball rolling on a solution for you.",0,1,495,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,1,BONJO7,"BOULDER, CO, USA",SWEATY GENERALIST,18-24,MUSCULAR,,,,Hole in back,2017-05-26,"I just got this shirt in grey and the fit is totally different than my other metal vents. The neck and sleeves are loose and baggy. And there is a hole in the upper part of the back, which I assume is from the barbell, I thought this shirt was made for working out? I took it into my local store and they said they would stitch up the hole, so now I am left with a poor-fitting $78 shirt with visible stitching under the logo. I do not think that is the definition of ""standing behind the quality of our gear""",2017-05-26,"Hey BONJO7,
Thanks for taking the time to share your thoughts on the quality of our gear. We hear your disappointment and would like to dig into this with you. Due to the delicate nature of your Metal Vent Tech LS, abrasive surfaces such as barbells and dumbbells can cause quality issues such as holes and pilling. That said, we've got your back covered and an email is on the way!",1,0,509,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,4,KIERAN,"LONG BEACH ISLAND, NEW JERSEY, USA",RUNNER,18-24,SLIM,,,,Great Shirt,2017-03-25,I loved the style and held up just as well in Performance. Great ventilation. Feel like I definitely got my moneys worth.,,,1,0,121,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,2,NG14,"CHICAGO, IL, USA",RUNNER,18-24,ATHLETIC,"color, material, weight",hole,,Hole after one wash,2017-03-24,"I've used the Metal Vent Tech shirts (both long sleeve and short sleeve) before and I have loved them. I just got this one in blue and after one workout and one wash, I found a small hole on the front side. I was extremely disappointed because I've never had any problems with these shirts before. Plus, I don't have the receipt anymore, so I cannot return it and get a new one. These shirts are amazing for running and training, but I am extremely disappointed with my new one getting a hole after one wash.",2017-03-25,"Hey NG14,
I'd love to learn more about the hole you're experiencing with your shirt so I can help turn this around. I've sent you an email to follow up so we can continue the conversation—chat soon!",1,0,508,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,3,AZCATS,"PHOENIX, AZ, USA",SWEATY GENERALIST,35-44,SOLID,"style, comfort",quality,,"Great looking, poor quality",2017-03-13,"I bought 2 of these shirts for my son for his birthday, because he specifically asked for them. I was a little hesitant because they are $80 a shirt, and the reviews here were spotty. Well, sure enough I bought them and after 1 washing the shirt began to run & come apart at the seams. Our cleaning lady was sure to follow the ""special instructions"" for laundering these type of clothes but still saw this happen. Luckily the good folks at the store handled the return & exchange politely and quickly without a problem. It was still disappointing to have that happen to such a relatively expensive item, and a hassle to have to drive back down to the mall.",2017-03-14,"Hey AZCats,
Thanks for taking the time to share your feedback with us. I'm sorry to hear of the unraveling seams your son is experiencing and would love to help turn this around. Please keep your eyes peeled for a follow up email headed your way so we can continue the conversation.",1,0,656,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,3,DKA5053,"BOCA RATON, FL, USA",SWEATY GENERALIST,18-24,MUSCULAR,"breathable, fits nicely","poor quality, falling apart",,Poor Quality,2017-03-10,"When I first bought this product I was impressed by the way it fit and thought these long sleeve shirts would soon become a staple in my wardrobe. After 2-3 wears, I started noticing holes appearing and seams unraveling. Unlike the rest of my products from Lululemon, this is a poor quality item.",2017-03-11,"Hi dka5053,
We're sorry to hear you're experiencing holes and unraveling seams with your Metal Vent Tech Long Sleeve. We would love to get a better understanding why you may be experiencing this. We have sent you an email to have a further chat.",1,0,296,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,2,ZREW15,"JOHNSON CITY, TN",YOGI,25-34,ATHLETIC,construction,"material, uncomfortable, irritating, runs big",,Shirt material is subpar from other lululemon products,2017-02-13,The Metal Vent Tech Long Sleeve Tee feels quite course and is not the usual soft stretchy material like the metal vent tech line from the past. It causes my skin to feel itchy and break out. I am no happy with my choice in purchasing the metal vent tech long sleeve shirt and will only consider the 5 year line from now on.,2017-02-14,"Hi zrew15,
Yikes, we're sorry to hear that this is going on with your long sleeve. We stand behind our gear and would love to make things right for you. Keep an eye on your inbox - I've sent you an email to follow up and help.",1,0,323,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,5,REALDEAL,"DETROIT, MI, USA",CYCLIST,18-24,MUSCULAR,"fit, metal, material, vent, sleeves",,,Best workout shirt!,2017-01-22,the fit on these is amazing. if you have long arms then these shirts are for you.,,,1,0,81,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,3,GRICKAN,"ALAMEDA, CA, USA",SWEATY GENERALIST,25-34,ATHLETIC,the fit,odor,,Great fit but very smelly,2017-01-19,"I love the fit of this long sleeve shirt. I have several Lululemon shirts and pants, and I really like the athletic fit to them. However, this one does not hold true to its odor-free claims. Not sure if there is something wrong with my shirt in particular. Im not an unusually sweaty person when i workout. If they can fix the smell of this shirt Id by one in every color.",2017-01-20,"Hey Grickan,
Try adding 1 Cup of white vinegar to your bleach tray in your washing machine. We've heard that this is the best way to get rid of that smell. Let us know if you continue to experience odour issues with your favourite gear.",0,0,372,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,1,SCTROJAN,,RUNNER,18-24,ATHLETIC,,,,"nice material, but very poor quality",2016-12-21,"I'm a big fan of these Metal Vent Tech shirts from Lulu, but the quality of the shirts for their price is extremely terrible. I've only worn it a couple of times around the house and to the gym, nothing too excessive at all, and it's already begun pilling and the material has begun to rip.",2016-12-21,"Hey there sctrojan,
I'm so sorry to hear of the pilling and ripped material that you've experienced with your shirt. I'd like to help you out and chat more about how to resolve this. Look for an email that will describe the next steps to take.",0,1,290,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,2,JJ724,"MICHIGAN, USA",SWEATY GENERALIST,35-44,ATHLETIC,colors,fit/sizing,,too tight,2016-12-13,"I have most colors of the metal vents in short sleeves and I love them....colors and the way they fit! The long sleeves though are much different in fit...they're too tight...for some reason they are much slimmer. I wear a small and when I try these on they are tighter...
I wish Lulu would make them the same specks as the short sleeves...I would love to buy these, but they are not the same as the short sleeved ones!",,,4,1,419,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,1,AMAHDI43,"MARYLAND, USA",,18-24,MUSCULAR,,"odor, sizing inconsistency",,Unfortunate let down,2016-11-29,"This was my very first purchase from Lululemon. At first i loved it but unfortunately after a few washes the shirt began to come un-done and their is a terrible odor to it, does not hold true to its anti stink claim. I am very strict about following the rules for wash on the label and it didn't seem to prevent any of this. Because i loved the shirt so much and In hopes that there would be some changes made and these problems could be resolved, i bought 3 more pairs but unfortunately each one of those also resulted in the same exact problems and inconsistency in sizing. I definitely expected more from $78 shirts. Makes me very skeptical about future purchases.",2016-11-30,"Hi Amahdi43,
Yikes, we're sorry to here that this is going on with your long sleeve. We stand behind our gear and would love to make things right for you. Keep an eye on your inbox - I've sent you an email to follow up and help.",3,2,667,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,3,THOMASD,,,18-24,ATHLETIC,comfort,durability,,Poor Durability,2016-11-07,I purchased a metal vent tech long sleeve a few months back. I was very pleased with this shirt's comfort and feel. I washed it once and it ripped in the sleeve. I am very disappointed because I did not expect a 78 dollar shirt to rip after one wash.,2016-11-09,"Hey ThomasD,
We hear your disappointment with the ripping you've noticed on your Metal Vent Tech Long Sleeve. An email is on the way so we can follow up and continue this conversation.
Chat with you soon.",2,1,250,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,2,ROOSTER8,,,,,,quality,,Good...until it wasn't,2016-10-19,"I was very excited when I bought this shirt because it seemed very comfortable and stylish - it was for the first few wears and washes. However, after about 3 wears, the seems around the neck and lower part (near waist) started to come undone. I didn't think much of it, but after a few more washes the seems continued to strip off more and more. Now I am at the point where I do not even wear the shirt because I am embarrassed of the quality.",2016-10-21,"Hi rooster8,
We're sorry to hear the seams are coming undone on your Metal Vent Tech Long Sleeve. We stand behind the quality of our product, and we want to ensure that you're in gear that is performing well for you. Please give our GEC a call- 1.877.263.9300 as they'll be able make some recommendations about how to proceed.",3,1,444,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,5,BFORD41,"CHARLOTTE, NC, USA",SWEATY GENERALIST,18-24,SLIM,"sleeve length, style",,,Fits well,2016-08-05,"I'm a pretty long and tall guy. I'm 6'4 and I have a wingspan of about 6'8 so its tough to find long sleeve shirts that fit me. This one fits me perfectly. Not too long, not too short. Good slim fit and it is really breathable. Would definitely buy again.",,,4,3,255,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,2,MICHAELB,,SWEATY GENERALIST,25-34,ATHLETIC,,,,Great shirt if not for quality issues,2016-08-01,"Pros: Love the design, fit and feel of the shirt. Extremely comfortable and breathable.
Cons: Poor quality for the price point. Experienced multiple holes in the first few months of normal wear (just around the house, not even workouts) even when following all washing instructions.",,,8,1,282,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,1,NATHAN1,"NEW YORK, NY, USA",SWEATY GENERALIST,UNDER 18,MUSCULAR,,"poor quality, over priced for what it's worth, bad experience",,Poor Quality- Don't Buy!!!,2016-07-27,"My fellow teammates have been wearing this brand for a while now. I figured it was time to see why they spoke so highly about it. So I decided to get myself a vent tech short sleeve. I loved the quality and craftsmanship and was really happy to represent the brand to people who look up to me. Unfortunately I cannot say the same about the metal vent tech long sleeve shirt. I've been wearing it to the gym for a little over a couple months now and I'm very disappointed because the quality is not worth the 78+ dollars I spent on this shirt. Snagging has developed all along the seems around the shoulders and its a shame. I am very careful and treat my gear well. I follow all washing directions and tips. Regardless my shirt still didn't hold up to my athletic lifestyle. I feel ashamed when wearing this shirt now and spending all this money on a piece of gear that doesn't hold true. I'm not one to waste time writing a review but in this case its beyond necessary and advertised wrong. Don't buy this shirt, the quality isn't what you expect.",2016-07-27,"Hi there Nathan1,
I'm sorry to hear of your first encounter with our gear. I can completely understand why you're disappointed with the snagging that you're experiencing. I'd like to make this right, so watch for an email that will allow us to find a resolution.",6,1,1048,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,4,BERANIMAL22,"CHICAGO, IL, USA",,18-24,ATHLETIC,range of motion,the hem is coming out,,Love it,2016-07-09,"I have owned this long sleeve for a few months now, and I have worked out in it and worn it casually on multiple occasions. It is a very comfortable piece of clothing, but then again what part of lulu isn't. The range in motion is great for cross fit type of workouts. The only reason I can't give it five stars is because the hem going up the arm is starting to come out. And for the price you pay for Lulu, it's very disappointing to have that happen to the clothing. I hope its just a one time thing! But other than that, I love the long sleeve T along with all my lulu products and would recommend them to anyone that likes to sweat!",,,1,1,637,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,4,JACKB511,"NEW JERSEY, USA",RUNNER,UNDER 18,LEAN,"range of motion, anti-sweat, anti-smell, stretches",too tight,,Not proportional,2016-07-01,"Overall, I liked this shirt; however, the sleeves were too tight compared to the rest of the shirt and the material did not feel like the metal vent tech tee, which is my favorite Lululemon product.",,,0,0,198,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,1,ZACHROB9,"DELLWOOD, MN, USA",RUNNER,UNDER 18,MUSCULAR,"these shirts are the most comfortable shirts that, i have ever worn","after one day of wearing this shirt to school, there was snagging all the way up the seams on the, sleeves. lulu lemon should be ashamed of charging, so much for such low quality materials., the return policy is the absolute worst, i had ordered this shirt again and when i got it, there were snags on the seams and the front of the, shirt. i returned it and they said they sent, a gift card, its been three weeks and i still haven't got it.",just right,"most comfy shirt ever, but awful fabric quality.",2016-04-09,these shirts are so comfortable but have awful durability,2016-04-16,"Hi zachrob9,
We're sorry to hear you are experiencing snags on your Metal Vent Tech Long Sleeve, and that you have not received your gift card yet. Best to give our GEC a call to get insight on your return- 1.877.263.9300.",0,0,57,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,5,FARGO,"GRAND RAPIDS, MI, USA",SWEATY GENERALIST,18-24,ATHLETIC,"fit, comfort, moisture wicking, colors",snags easily,,My favorite Line of Shirts,2016-03-18,"The metal vent tech line of shirts is my favorite line of shirts that lulu makes. Very comfortable, sweat wicking, and come in a variety of colors. Only problem I had was an issue with one of my shirts getting snags in it because of contact with velcro from a jacket. Other than that I love these shirts.",,,0,0,304,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,5,GARYCFE,"ELIZABETHTOWN, KY, USA",SWEATY GENERALIST,25-34,ATHLETIC,everything!,nothing!,,Perfect Workout Longsleeve,2016-02-22,"This shirt delivers in every aspect when you need something to perform. It is thin enough to layer under a heavier sweat shirt, or supplies cover for cold runs or WODS",,,1,0,167,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,1,NYCPRO,"NEW YORK, NY, USA",SWEATY GENERALIST,18-24,ATHLETIC,"fit, material",odor,,Great performance but off-putting odor,2016-02-21,"The fit and performance are fantastic. This shirt is exceedingly comfortable for sweaty workouts. However, after 2-3 washes, performed in accordance with the tag's directions, the shirt begins to give off a terrible metallic odor. This odor continues to intensify through continued wear and washing.",,,6,2,299,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,1,GOWARRIORS,ILLINOIS,SWEATY GENERALIST,35-44,MUSCULAR,"colors, sleeve length",body length,,Disappointing- sizing off,2016-01-30,"I'm a huge fan of the metal vent tech tee, and my Mom got me this long sleeve for Christmas. The sleeves and width are perfect, the problem is the length. The shirt doesn't even cover my back- it's at least 3 inches shorter than my shirt sleeve tees. Huge disappointment, I'm sticking with the short sleeved ones. This shirt is made for someone with long arms and a very short torso.",,,4,2,383,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,5,VICTORYGIN,"MANHATTAN, NEW YORK, NY, USA",SWEATY GENERALIST,25-34,MUSCULAR,"colors, fit, versitile",,just right,"My go to warmup, brunch, business travel shirt",2016-01-25,This shirt is awesome. I'll confess I've never actually worked out in it since I swear too much to wear a long sleeve during a workout.,,,1,0,135,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,3,HSK5,,,25-34,MUSCULAR,,,snug,Shirt Stinks,2016-01-24,"When I say ""stinks"" I mean the shirt literally smells horrible. I have a decent amount of lulu apparel so I am familiar with washing and handling instructions. I have not had any issues with quarter zips, pants, or shorts that I own. However, these shirts pick up an unbearable stench that will not subside.",,,7,2,307,top,long sleeve
Metal Vent Tech Long Sleeve,78,2.9,5,JROD,"ST PAUL, MN, USA",RUNNER,UNDER 18,ATHLETIC,,,,Great Shirt,2016-01-19,"I love the Metal Tech line, fit is great, they look fantastic and the fabric is unmatchable by any other company. Only thing I can warn against is using deodorant with aluminum as sometimes it reacts with the silver in the shirt and causes the shirt to fade in the pits. Although that has not happened to me, I have seen it happen to many other reviewers and Lulu is fairly quick to sort things out.",,,1,2,399,top,long sleeve
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,AZYOGAERIN,"PHOENIX M, AZ",YOGI,35-44,LEAN,,,,Perfect fitting shorts!,2018-10-10,"The 7” pace breakers are perfect for workout or yoga shorts for men. They’re breathable, fitted and the shape of the shorts are just perfect for most activity. I highly recommend them!",,,0,0,184,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,JPGATOR,"FLORIDA, USA",SWEATY GENERALIST,45-54,MUSCULAR,,,,Great shorts for the gym.,2018-10-09,I wear these each morning for the gym for both free weights and cardio. No complaints at all. Multiple washes with no signs of wear.,,,0,0,132,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,1,PISTOL97,"CHARLOTTE, NC, USA",RUNNER,18-24,MUSCULAR,the look and style,"durability, fit",,quality did not match the price,2018-10-02,"I always wanted a pair of Lululemon shorts from the first time I ever stepped into a store, however, the price always held me back just a little bit. Finally, about a month ago I received a pair as a birthday present. I automatically assumed they would be my new favorite shorts. I soon came to realize that the quality was just not exactly what I had expected. The fitting of the shorts was a little wonky in some areas and the material was not durable by any means. After about three weeks of owning these shorts I was sitting outside at a restaurant that was a brick building and I snagged my shorts on the brick and it ripped right through the shorts. I am very disappointed that such an insignificant action has ruined my shorts. High price does not always mean high quality and durability!",2018-10-03,"Hey pistol97,

Thanks for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short Linerless 7"" is not working out for you. We stand behind our gear and would love to sort this out for you. Keep an eye out for an email coming your way. Chat Soon!",0,0,795,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,KEITHFE,"CHARLOTTE, NC, USA",SWEATY GENERALIST,OVER 65,LEAN,"lightweight fabric, pockets",,roomy,Great workout shorts!,2018-09-24,"I own several pairs of Lulu shorts, but I like these best.
They have deep, side POCKETS, which I really find useful.
I especially like the lightweight fabric. I also like the stretch drawstring.
These shorts are a hit with me. More colors please.",,,1,0,246,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,2,SLAM39,,,,,,,just right,Runner,2018-09-13,"I ordered the linerless, and was sent the lined version. Kinda upset about it. Great support, but I'm not happy. Lulu should send what people ask for, terrible service. Also logo falls off in like 2 washes. Why would I buy this without the logo? 4/10",2018-09-14,"Dear Slam39,

Thank you for taking the time to share your feedback with us. We want you to know, feedback is at the heart of everything we do and we'd love to make this experience right for you. Keep your eyes peeled for an email headed your way so we can follow up and chat further.
Talk soon!",0,0,250,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,BRIGUYZINGTON,,,,,,,just right,Good shorts,2018-09-10,"The shorts are good. I wear them and I am happy. I would tell my friend: ""hey Bill, wear these shorts.""",,,1,0,103,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,EMONEY,"GRAND RAPIDS, MI, USA",SWEATY GENERALIST,18-24,ATHLETIC,,,roomy,Favorite Shorts Ever,2018-09-05,"I had the T.H.E. Shorts first and loved those and still do, but I bought these and they were much more comfortable and I don't think I took them off for 5 days straight. They match with so much and I wish i had enough money to buy all the colors. Only problem I've had was wrinkles but they're not bad.",,,0,0,302,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,BRIANUTAH,"ST. GEORGE, UT, USA",SWEATY GENERALIST,35-44,MUSCULAR,"fit, comfortable",,,So comfy,2018-09-03,After purchasing the shorts they immediately became my favorite pair that I own. I have tried tons and tons of different brands and these are by far the best fitting in most comfortable pair that I own.,,,1,0,202,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,TRIPPYTREV,HOUSTON,RUNNER,18-24,ATHLETIC,the material,,just right,Go to shorts,2018-09-03,These are the comfiest pair of shorts I own. Little tighter than I thought they’d be but still have plent my of room. They’re my go to shorts and wear them all the time no matter working out or not,,,0,0,197,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,BROADSHOULDER2,"TUCSON, AZ, USA",RUNNER,UNDER 18,SOLID,the pockets,some of the other shorts don’t have pockets,,Comfy,2018-08-29,These shorts are amazing. You can wear them casually or to the gym and not feel embarrassed for wearing athletic cloths.,,,0,0,120,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,1,JSCHWARTZ325,ATLANTA GA,SWEATY GENERALIST,18-24,ATHLETIC,,,,logo washed off,2018-08-29,"the logo washed off these shorts after 1 month, lulu lemon come on, I pay the money for these short to show off the brand. Please help and get back to me",2018-08-30,"Hi jschwartz325,

Thank you for taking the time to share your feedback with us. I’m sorry to see you’re having some trouble with your gear—that's definitely disappointing. We have sent you an email outlining a few options. Talk soon!",0,0,153,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,NATEDOGG,"KIRKLAND, WA, USA",SWEATY GENERALIST,18-24,ATHLETIC,"fit, fabric quality, pocket sizing, all around tech, length",,,Absolute favorite pair of shorts,2018-08-27,"There is really nothing bad to say about the Pace Breaker short. Fits true to size, has amazing tech and durability, won't let you down.",,,0,0,136,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,3,KBBQ,"PASADENA, CA, USA",,UNDER 18,ATHLETIC,,,tight,Make these bad boys with liner!,2018-08-27,I love the 9 inchers and the 7 inchers but everyone knows that 7 inchers are better sty since they show that thighs better and that's the trend nowadays. But you know what'd be even better for the boys? 7 inch inseam WITH liner. Now that would be key. Let's get rolling on that Lulu for the boys.,,,6,0,296,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,IGGYM,"KANSAS CITY, MO, USA",SWEATY GENERALIST,18-24,ATHLETIC,,,just right,Perfect length and fit!,2018-08-23,"I thought they were going to be maybe too long but the length is just perfect !
Once again Lululemon did not disappoint !",,,0,0,121,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,SALLY11,TEXAS,RUNNER,35-44,ATHLETIC,everything. son loved them,,,pace breaker,2018-08-16,"great fit
great quality",,,0,0,23,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,DELLIOTT,"ST. LOUIS, MO, USA",SWEATY GENERALIST,45-54,SOLID,"construction, deep pockets, material, breathable, stretchiness",,,Want to live in them!,2018-08-16,"Comfortable, breathable they are the perfect combination of fitted and loose in all the right areas. I live in them at home and allow me to perform without restriction at the gym - And the pockets! deep and secure.
Basically, I am in love.",,,0,0,239,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,VOLLEYBALLGUY,"NEW ORLEANS, LA, USA",SWEATY GENERALIST,35-44,ATHLETIC,"fit, feel, comfort, patterns",,just right,My Favorite Pair of Shorts,2018-08-15,Lululemon hit the nail on the head with these. So much so that I bought a second pair.,,,0,0,86,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,JOHND3,DETROIT,RUNNER,18-24,LEAN,"color, length, feel, comfort, quality",,,Best shorts I have ever owned,2018-08-15,"These shorts were simply amazing. Great quality, not too thick but not too thin they were just perfect. I bought two more pairs.",,,0,0,128,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,MSULLI,MIAMI,,,ATHLETIC,,,,Great active shorts,2018-08-15,"I bought a 2nd pair of these shorts (in a different color) because they're not only comfortable and look great, I use them for all types of activities including bootcamp, weightlifting and walking. I love the added zippered pocket for my keys and ID.",,,0,0,250,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,AJG73,"MELBOURNE VIC, AUSTRALIA",SWEATY GENERALIST,45-54,MUSCULAR,pockets,,snug,My new fav shorts,2018-08-14,"These 7"" shorts are great, they fit perfectly around the legs with heaps of room to stretch when needed. I also wear them over my running tights.",,,0,0,145,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,NADADOR,"LOS ANGELES, CA, USA",SWEATY GENERALIST,55-65,SOLID,,,,Super Comfortable,2018-08-13,"I finally found a liner-less short that works for me. Love the deep pockets and the zippered pocket to secure wallet, phone, keys, or whatever! Color me 'loyal' to these shorts!",,,1,0,177,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,JAKETOP,IOWA,SWEATY GENERALIST,18-24,ATHLETIC,,,,Perfect Everyday Shorts,2018-08-13,"These shorts are some of my favorite by lululemon. The 7” is perfect length in my opinion. Whether working out or just running errands, they are great.",,,2,0,151,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,KUDNEKETO,,RUNNER,18-24,ATHLETIC,"pockets, stretchiness",a bit too roomy,roomy,Considering throwing out all my other shorts,2018-08-11,"I'm pretty close buying one or two more pairs of these and throwing out all my other shorts. A bit on the expensive end but it's the perfect blend of
* comfort: the stretch makes sure it never feels like your shorts are restricting your motion (only complaint here is it's a bit too roomy)
* style: they look great for gymming or just casual wear
* convenience: the zippered pocket + the pocket-within-a-pocket are great for securely carrying everything you need
* durability: haven't had any issues despite how light and thin they are",,,0,0,535,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,1,SWIMYASA,"BURLINGAME, CA",YOGI,35-44,MUSCULAR,the previous style,my legs pinched and shorts fitting badly.,snug,"Pace Breaker ""UPDATED"" should read ""RUINED""",2018-08-03,"I have worn these shorts for years, in yoga (teaching and practicing, strength training, hiking, and running. The inner liner never hiked up, and was comfortable. I have larger muscular quads (but not excessive;y), and whoever redesigned these made serious mistakes, as they pinch, hike up, and are generally very uncomfortable now. Why fix something that was never broken? Why not test these on guys with bigger upper legs? The new ""improved"" liner in the Pacebreaker and Surge are FAR tighter than the previous style, and the seam/opening are not as elastic, not to mention the sizing is off. I was a size Small before, and now the Medium is even too tight. Again, the old ones were far better, the new fit/fabric is all wrong, and Lululemon badly missed their mark on a signature item. I've spoken with other Lulu athletes and amabassadors, and everyone is feeling the same. Definitely pass on buying these, there are now better shorts with other brands.",2018-08-03,"Hey swimyasa,

We’re writing to follow up on your recent review. We want your gear to support your sweatiest pursuits and it sounds like your Pace Breaker Short Linerless 7"" *Updated isn’t up to the task. We’d love to turn this around and get you into gear that works for you. Look out for an email from us soon!",3,0,957,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,5,KHALL89,"ORLANDO, FL",SWEATY GENERALIST,25-34,LEAN,,,just right,Best workout shorts there are,2018-08-03,I've been waiting years for a 7'' Pacebreaker option. The pacebreakers are the perfect short and now they come in a perfect length and they're linerless...which is also perfect. I love having the normal hand pockets and a discreet zipper pocket on the right side (which they changed from the left).,,,0,0,298,bottom,shorts
"Pace Breaker Short
Linerless 7"" Updated",68,3.9,1,SWAGGYG,SCOTTSDALE,SWEATY GENERALIST,18-24,ATHLETIC,,,,Disappointed,2018-08-02,Received my shorts with multiple snags in them and I was very disappointed. Waited a week for them and then couldn’t even wear them.,,,0,0,132,bottom,shorts
